0.00	0.00
1.00	0.12
2.00	0.39
3.00	0.80
4.00	1.37
5.00	2.11
6.00	3.06
7.00	4.24
8.00	5.68
9.00	7.51
10.00	9.75
11.00	12.77
12.00	17.22
13.00	25.15
14.00	30.09
15.00	20.52
16.00	16.44
17.00	14.14
18.00	12.79
19.00	12.00
20.00	11.61
21.00	11.58
22.00	11.85
23.00	12.40
24.00	13.23
25.00	14.36
26.00	15.84
27.00	17.70
28.00	19.97
29.00	22.70
30.00	25.16
31.00	25.68
32.00	24.29
33.00	22.47
34.00	20.98
35.00	19.95
36.00	19.27
37.00	18.86
38.00	18.72
39.00	18.81
40.00	19.10
41.00	19.46
42.00	20.08
43.00	20.67
44.00	21.43
45.00	22.22
46.00	23.00
47.00	23.75
48.00	24.46
49.00	24.96
50.00	25.42
51.00	25.66
52.00	25.83
53.00	25.93
54.00	26.01
55.00	26.16
56.00	26.18
57.00	26.22
58.00	26.34
59.00	26.37
60.00	26.29
61.00	26.32
62.00	26.20
63.00	26.07
64.00	25.90
65.00	25.63
66.00	25.47
67.00	25.30
68.00	25.03
69.00	24.80
70.00	24.59
71.00	24.40
72.00	24.24
73.00	24.07
74.00	23.90
75.00	23.78
76.00	23.71
77.00	23.65
78.00	23.61
79.00	23.64
80.00	23.66
81.00	23.71
82.00	23.81
83.00	23.92
84.00	24.05
85.00	24.23
86.00	24.46
87.00	24.66
88.00	24.90
89.00	25.17
90.00	25.42
91.00	25.69
92.00	25.92
93.00	26.12
94.00	26.32
95.00	26.44
96.00	26.50
97.00	26.60
98.00	26.65
99.00	26.70
100.00	26.72
101.00	26.74
102.00	26.77
103.00	26.92
104.00	27.09
105.00	27.21
106.00	27.45
107.00	27.61
108.00	27.94
109.00	28.22
110.00	28.65
111.00	29.21
112.00	29.55
113.00	29.98
114.00	30.38
115.00	30.96
116.00	31.52
117.00	32.26
118.00	32.49
119.00	32.74
120.00	32.72
121.00	33.02
122.00	33.26
123.00	33.33
124.00	33.51
125.00	33.95
126.00	34.49
127.00	35.17
128.00	36.14
129.00	37.40
130.00	38.93
131.00	40.46
132.00	41.09
133.00	40.23
134.00	37.64
135.00	35.27
136.00	33.15
137.00	31.34
138.00	29.74
139.00	28.41
140.00	27.31
141.00	26.37
142.00	25.54
143.00	24.82
144.00	24.20
145.00	23.73
146.00	23.35
147.00	23.09
148.00	22.90
149.00	22.79
150.00	22.81
151.00	22.89
152.00	23.13
153.00	23.48
154.00	23.91
155.00	24.44
156.00	25.07
157.00	25.75
158.00	26.37
159.00	26.75
160.00	26.83
161.00	26.63
162.00	26.14
163.00	25.57
164.00	24.91
165.00	24.42
166.00	24.06
167.00	23.81
168.00	23.68
169.00	23.74
170.00	24.01
171.00	24.28
172.00	24.64
173.00	25.18
174.00	25.64
175.00	25.93
176.00	26.21
177.00	26.43
178.00	26.46
179.00	26.45
180.00	26.55
181.00	26.89
182.00	27.12
183.00	27.53
184.00	28.08
185.00	28.81
186.00	29.72
187.00	30.75
188.00	31.84
189.00	33.21
190.00	34.68
191.00	35.90
192.00	37.29
193.00	38.52
194.00	40.00
195.00	41.17
196.00	42.55
197.00	43.84
198.00	45.16
199.00	44.65
200.00	43.89
201.00	41.78
202.00	40.16
203.00	38.69
204.00	38.03
205.00	37.29
206.00	37.00
207.00	36.81
208.00	37.28
209.00	37.85
210.00	38.74
211.00	39.99
212.00	41.34
213.00	42.58
214.00	42.87
215.00	41.75
216.00	40.01
217.00	38.35
218.00	37.00
219.00	35.70
220.00	34.82
221.00	34.15
222.00	33.55
223.00	33.14
224.00	32.78
225.00	32.45
226.00	32.23
227.00	31.94
228.00	31.69
229.00	31.39
230.00	31.06
231.00	30.75
232.00	30.43
233.00	30.13
234.00	29.85
235.00	29.59
236.00	29.40
237.00	29.23
238.00	29.09
239.00	28.94
240.00	28.96
241.00	28.92
242.00	28.97
243.00	29.00
244.00	29.11
245.00	29.23
246.00	29.37
247.00	29.65
248.00	29.85
249.00	30.12
250.00	30.36
251.00	30.80
252.00	31.06
253.00	31.39
254.00	31.79
255.00	32.11
256.00	32.51
257.00	32.84
258.00	33.07
259.00	33.38
260.00	33.60
261.00	33.78
262.00	33.93
263.00	33.61
264.00	33.86
265.00	33.11
266.00	32.71
267.00	32.26
268.00	31.67
269.00	30.86
270.00	30.94
271.00	30.70
272.00	29.81
273.00	29.35
274.00	28.82
275.00	28.40
276.00	27.67
277.00	27.50
278.00	27.05
279.00	26.90
280.00	26.65
281.00	26.39
282.00	26.20
283.00	25.93
284.00	25.99
285.00	25.83
286.00	25.92
287.00	26.00
288.00	26.23
289.00	26.63
290.00	26.91
291.00	27.39
292.00	28.03
293.00	28.71
294.00	29.48
295.00	30.19
296.00	31.12
297.00	31.84
298.00	32.51
299.00	32.54
300.00	31.95
301.00	30.94
302.00	29.81
303.00	28.81
304.00	27.97
305.00	26.83
306.00	26.16
307.00	25.36
308.00	25.07
309.00	24.55
310.00	24.29
311.00	24.20
312.00	24.19
313.00	24.22
314.00	24.13
315.00	24.12
316.00	24.01
317.00	23.78
318.00	23.47
319.00	23.03
320.00	22.46
321.00	21.84
322.00	21.23
323.00	20.66
324.00	20.20
325.00	19.88
326.00	19.69
327.00	19.68
328.00	19.84
329.00	20.24
330.00	20.84
331.00	21.82
332.00	23.05
333.00	24.62
334.00	26.54
335.00	28.61
336.00	30.14
337.00	30.50
338.00	30.07
339.00	29.66
340.00	29.56
341.00	29.26
342.00	27.42
343.00	24.15
344.00	20.57
345.00	17.32
346.00	14.50
347.00	12.03
348.00	9.93
349.00	8.09
350.00	6.50
351.00	5.14
352.00	3.97
353.00	2.95
354.00	2.11
355.00	1.41
356.00	0.86
357.00	0.44
358.00	0.15
359.00	0.01
